n,d,p
32,31,8.6788614693385e-15
63,61,1.3553008747959218e-88
976,945,8.04186956771225e-85
472,457,4.43239794090617e-81
912,883,2.2584476643088347e-77
220,213,1.0582570435441752e-73
848,821,4.5338210591633394e-70
408,395,1.764571741486632e-66
784,759,6.194583613850563e-63
94,91,1.945881165565836e-59
720,697,5.420805575144945e-56
344,333,1.3257858031903023e-52
656,635,2.814380515080673e-49
156,151,5.118483388437986e-46
592,573,7.85732448612572e-43
280,271,1.0007290385688448e-39
528,511,1.03655589994451e-36
31,30,8.52991376620712e-34
960,929,8.468109936154e-83
464,449,5.424587292689077e-31
896,867,2.2146300384739877e-75
216,209,2.579444213625793e-28
832,805,4.0974283765757016e-68
400,387,8.812807496139004e-26
768,743,5.093858469305591e-61
92,89,2.0604079072393816e-23
704,681,3.991107624243802e-54
336,325,3.102680878092619e-21
61,59,1.5769559799069234e-84
640,619,1.8174298833030838e-47
944,913,8.761840026831542e-81
152,147,2.7874810491825496e-19
880,851,2.1285894793500615e-73
576,557,4.3319415619110386e-41
212,205,9.20547091299984e-70
272,263,1.3535063474372336e-17
392,379,1.2836996651492394e-62
512,495,4.705329135378511e-35
752,727,4.077546844691872e-59
992,959,2.865275015987346e-86
30,29,3.116748463701491e-16
928,897,8.902745268088598e-79
688,665,2.84667628284456e-52
448,433,1.927902310213047e-29
328,317,6.124329965421012e-49
864,835,2.003848815466802e-71
208,201,2.84775851423168e-15
504,487,5.084272000361237e-88
800,773,3.119824915709151e-64
148,143,1.7611407857723712e-42
976,943,3.0618948746752514e-84
384,371,2.2798341315130085e-24
59,57,1.7140729189042686e-80
560,541,2.280112132588457e-39
736,711,3.1737476879742884e-57
912,881,8.877675673753031e-77
88,85,8.020249372023177e-15
848,819,1.8462280261069433e-69
672,649,1.9640843861246758e-50
496,479,2.0159957004680783e-33
204,197,7.324127334138474e-66
320,309,5.227439235992247e-20
784,757,2.6235638629498027e-62
29,28,1.3086619975338472e-30
608,587,6.748943809600581e-44
376,363,8.419122881164143e-59
896,865,8.682278805349193e-75
144,139,4.7857660615057244e-15
488,471,5.889496572148643e-84
832,803,1.663408975197708e-67
86,83,6.010037237086846e-52
544,525,1.1427756101542598e-37
944,911,3.3202202063388223e-80
200,193,2.2270773688518087e-25
656,633,1.3088099418832962e-48
57,55,1.732326678699997e-76
256,247,1.2375919745470063e-16
880,849,8.321932835163399e-73
312,301,2.44596454544225e-45
992,957,1.053029390915997e-85
368,355,5.34582784309725e-23
424,409,3.6599333771965005e-69
480,463,8.122763728021617e-32
592,571,3.865410798806522e-42
704,679,1.758874182618965e-53
816,787,1.4643047870176838e-65
928,895,3.365187987096546e-78
28,27,2.2145758821596662e-15
976,941,1.1227337825018594e-83
864,833,7.811796954391276e-71
752,725,1.714363761166542e-58
640,617,8.409197057961616e-47
528,509,5.4383013048150394e-36
472,455,6.371139233988504e-80
416,401,1.9397150870295156e-26
360,347,4.933763528922229e-55
304,293,7.681797246598559e-19
800,771,1.2583050091286463e-63
248,239,4.638172523309964e-33
688,663,1.2489875891794829e-51
55,53,1.61945127339534e-72
192,185,1.014870069764211e-14
848,817,7.175898241867648e-69
82,79,2.75014884348514e-48
464,447,3.0654115306117247e-30
736,709,1.3291742055506475e-56
1008,971,3.457763465067721e-87
136,131,3.861200512704979e-17
896,863,3.2645682983967596e-74
624,601,5.2000349706316534e-45
244,235,2.1220991180183317e-83
352,339,1.1268613209156917e-21
784,755,1.0544880852030795e-61
27,26,1.5194482687180173e-27
944,909,1.2116394474326829e-79
512,493,2.449732055389762e-34
296,285,8.320098227494684e-42
672,647,8.577581264765781e-50
188,181,3.4455268370006385e-58
832,801,6.445301316233911e-67
456,439,6.406126112731754e-76
992,955,3.740000490484463e-85
80,77,1.5212953909115635e-14
504,485,6.446737663526674e-87
928,893,1.2249538927966727e-77
53,51,1.3923226419228357e-68
768,739,8.608988248155951e-60
344,331,2.557427102608825e-51
608,585,3.088756103300027e-43
132,127,1.2026727401016818e-35
976,939,3.97842959780959e-83
448,431,1.0787558404123262e-28
816,785,5.6555399156932376e-65
184,177,1.3326962533585382e-22
656,631,5.688068295769188e-48
236,227,2.2846270206491975e-79
288,277,9.71197044465731e-18
392,377,2.076691313361339e-61
496,477,1.0410166915082073e-32
704,677,7.304939706939201e-53
912,877,1.215158818438757e-75
26,25,8.793830547556747e-15
960,923,4.159825738174005e-81
752,723,6.839785906733356e-58
544,523,5.512643893313626e-37
440,423,5.955838429036691e-72
336,323,2.1155253889691252e-20
800,769,4.843604188469718e-63
232,223,6.989222135387858e-30
592,569,1.7586182727387813e-41
180,173,2.0029978197863275e-54
848,815,2.674792450530433e-68
488,469,7.400656209289969e-83
128,123,3.6321005158841094e-15
944,907,4.2727713200125074e-79
51,49,1.0938378379610653e-64
688,661,5.164108492160057e-51
280,269,2.368678032557132e-38
992,953,1.287512095284969e-84
432,415,3.52276039111659e-27
736,707,5.282111904253116e-56
76,73,2.012534481273845e-18
784,753,4.044851076714761e-61
480,461,4.157867864029729e-31
328,315,1.1591097304483846e-47
832,799,2.394950729045996e-66
126,121,2.1920496285767516e-86
176,169,2.5895119508363444e-14
928,891,4.3087350249728116e-77
376,361,1.3420051282881846e-57
576,553,9.575932666855416e-40
976,937,1.3664265457785232e-82
25,24,1.2813768711954047e-24
624,599,2.2362789165189803e-44
424,407,5.0902101781032505e-68
224,215,5.482494739044308e-15
472,453,7.928878950953092e-79
720,691,3.9601251941951024e-54
124,119,2.2837492975812257e-32
768,737,3.2902210744806976e-59
272,261,1.0397344573972293e-16
864,829,1.0514143295552853e-69
74,71,3.654635251123585e-41
912,875,4.2630082307710716e-75
320,307,3.4998274937280224e-19
1008,967,4.000169217793926e-86
172,165,1.0291589859267451e-50
368,353,3.204803164971624e-22
49,47,7.796121022535967e-61
