n,d,p
248,201,0.00018959053125935883
58,47,2.7837239642586406e-05
216,175,6.292490943860453e-07
100,81,0.0
184,149,0.0
21,17,0.0
320,259,0.006490818413722105
152,123,0.003919939806372161
288,233,0.0021410355898026177
68,55,0.0009999467686728602
256,207,0.0003580799608705716
120,97,7.72880752377552e-05
224,181,5.241274809709646e-06
26,21,0.005185340857709673
296,239,0.0029749209314413115
192,155,0.0
140,113,0.0015015941406736207
88,71,0.0006154544736509979
31,25,0.00017354023759420136
160,129,0.006743498939770713
232,187,2.2541923440064785e-05
304,245,0.004032157128692758
36,29,0.0021679971156425043
272,219,0.00098631612284888
200,161,0.0
128,103,0.0003375455006758237
312,251,0.005352249179995572
46,37,0.0
240,193,6.682033147938028e-05
148,119,0.003030975921355324
56,45,0.0015019287531332234
320,257,0.0069793335686353306
66,53,0.0005928477745688641
208,167,1.4805861044377646e-09
76,61,0.004128519964860513
248,199,0.0001568609063469584
96,77,0.0021820433831372305
116,93,1.7858089298675948e-05
136,109,0.0009656619466919732
156,125,0.005501536676906031
176,141,0.0
216,173,1.9543736578578397e-07
256,205,0.00031491030031117947
296,237,0.003072361264146568
5,4,0.008738066280118022
304,243,0.004207824228225986
264,211,0.0005661109805484008
224,179,2.5347634107974323e-06
184,147,0.0
144,115,0.0021840229267588627
124,99,0.00013997683119270195
104,83,0.005631542924002997
272,217,0.0009383984341648565
84,67,0.0
232,185,1.382719362934417e-05
74,59,0.003098485095519794
64,51,0.007682204595552243
280,223,0.0014627435612931743
54,43,9.771868289289188e-08
152,121,0.004269068672436055
240,191,4.753146722306586e-05
44,35,0.0005358440991084321
288,229,0.002173532974208922
200,159,0.0
39,31,0.005740808645046324
112,89,1.6678802466491318e-06
248,197,0.00012328248257211395
34,27,0.0009050702823197373
296,235,0.0031089687555787907
160,127,0.007563688119650313
92,73,0.0
208,165,0.0
29,23,1.045145731122609e-05
256,203,0.0002655668072085823
140,111,0.0014312625992475667
304,241,0.0043114728699794515
24,19,0.008520646070780818
320,253,0.007710932407736649
148,117,0.0031036541917569115
272,215,0.0008663368278757666
62,49,0.00010712928817269808
224,177,1.0526967202552433e-06
100,79,0.0
176,139,0.0
19,15,0.004334490960486319
280,221,0.0013913052817540528
128,101,0.0002399741361003236
232,183,7.700739841481384e-06
52,41,0.005892407707012337
288,227,0.0021159722282266947
184,145,0.0
33,26,0.00046740643882225443
80,63,0.00786323252722311
296,233,0.003082607131501578
108,85,1.7767033253253233e-08
136,107,0.0008229519535504795
192,151,0.0
248,195,9.181558609449846e-05
304,239,0.004337821168781725
14,11,0.0013442052467462053
312,245,0.0059330016765307605
256,201,0.00021447178074443542
200,157,0.0
144,113,0.002069796449094542
116,91,5.5211055834483735e-06
320,251,0.00792475125000903
88,69,0.00043064771609507764
37,29,0.0030461160247127785
208,163,0.0
60,47,2.497526670270825e-05
272,213,0.00077573976414522
152,119,0.004321411092693191
23,18,0.0
216,169,5.92234441775106e-09
124,97,7.757975070032944e-05
280,219,0.0012888857379795711
78,61,0.005949404719835297
32,25,0.010191932141372836
296,231,0.0029946867559355545
132,103,0.0003931341059669383
232,181,3.843601527120405e-06
50,39,0.0
168,131,0.0
304,237,0.0042854587606121815
68,53,0.00072556788311719
240,187,1.9397158554239014e-05
104,81,0.005941418808534488
140,109,0.0012281817076976237
176,137,0.0
248,193,6.459649115051473e-05
320,249,0.008024113383477843
9,7,0.0019462293238438498
256,199,0.00016557542464537865
184,143,0.0
148,115,0.0029290331263064724
112,87,1.9543736578578334e-07
264,205,0.0003555346218447416
76,59,0.0042304094588096084
192,149,0.0
58,45,2.5917659758182883e-06
272,211,0.0006733202203707387
156,121,0.00590912447593679
40,31,0.009206603305065234
288,223,0.0018707323876459377
31,24,5.2976322622135694e-05
208,161,0.0
84,65,0.0
296,229,0.0028500631052540758
128,99,0.0001429446660390474
216,167,2.1151230063398155e-10
304,235,0.004156948328505298
22,17,0.00031846888901319474
312,241,0.005852879759489111
224,173,9.771868289289125e-08
136,105,0.0006198710620005358
320,247,0.008004843555328588
92,71,0.0
232,179,1.6878681590590405e-06
35,27,0.0010928080187036192
48,37,0.0017985508538823887
74,57,0.0027588608519533413
248,191,4.2768210212788936e-05
100,77,0.0
152,117,0.004065988732691466
256,197,0.00012191590159771807
13,10,0.005773314912969256
264,203,0.0002824928675545142
160,123,0.007950750342002948
108,83,0.0
272,209,0.0005660623327192548
56,43,0.0010203237050817118
288,221,0.001697965756291306
116,89,1.0578787716207725e-06
176,135,0.0
296,227,0.0026566645065341033
30,23,7.980570615220136e-06
304,233,0.003958656392710157
184,141,0.0
124,95,3.396538552885426e-05
312,239,0.005671322888432433
64,49,0.007970334054406348
132,101,0.00024808774795264196
200,153,0.0
17,13,0.0005126840309697644
208,159,0.0
140,107,0.00094595608593496
72,55,0.001603196400918453
148,113,0.002544839751043483
224,171,1.7767033253252915e-08
38,29,0.0038362692945847006
232,177,6.351714388037998e-07
156,119,0.005548045587911678
80,61,0.007762032986398683
248,189,2.6514335958271284e-05
21,16,0.0
256,195,8.538243947071641e-05
88,67,0.00021565201938197252
272,207,0.00046045783672182746
46,35,0.0
280,213,0.0008708792660441823
96,73,0.0015045671575713321
296,225,0.0024248491401622856
25,19,0.0
304,231,0.003700313365105127
104,79,0.005404855884872347
320,243,0.00761807321995082
54,41,0.0
112,85,5.922344417751007e-09
29,22,3.6295510788788413e-07
120,91,3.900604092141263e-06
62,47,2.0325486041721488e-05
128,97,7.00517106523157e-05
33,25,0.00018549671068058808
136,103,0.0004100238919533124
70,53,0.0007960356384648542
144,109,0.0014033774520688866
37,28,0.002298219052408038
152,115,0.003552413917667579
78,59,0.005243335415420499
160,121,0.007454135852317701
168,127,0.0
176,133,0.0
184,139,0.0
192,145,0.0
200,151,0.0
208,157,0.0
216,163,0.0
224,169,1.4805861044377782e-09
232,175,1.954373657857846e-07
240,181,2.6117538882281963e-06
248,187,1.5284090356110938e-05
256,193,5.668148934849124e-05
264,199,0.00015784380400800434
272,205,0.000361930753815913
280,211,0.0007223394651164645
288,217,0.0013008947718726655
296,223,0.002166506112557256
304,229,0.003394302867867723
312,235,0.005065248139265344
320,241,0.007266216162477199
4,3,0.019544407336961722
320,239,0.006826134151724639
312,233,0.004667152377750137
304,227,0.0030546951222607177
296,221,0.0018940190458965314
288,215,0.0010968211473396964
280,209,0.0005815949500286124
272,203,0.0002744651296962526
264,197,0.00011050058273250277
256,191,3.550445478441736e-05
248,185,8.115303950723942e-06
240,179,1.0586190646729933e-06
232,173,4.441758313313356e-08
